"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.11.2022","113,21","113,88","114,61","113,06","7,14M","-0,35%"
"23.11.2022","113,61","112,32","113,95","112,10","11,55M","-0,50%"
"22.11.2022","114,18","112,21","114,47","111,43","17,72M","2,89%"
"21.11.2022","110,97","109,99","111,20","107,48","20,97M","-0,99%"
"18.11.2022","112,08","110,90","112,48","109,61","15,42M","-0,87%"
"17.11.2022","113,06","111,29","113,20","110,75","12,44M","0,13%"
"16.11.2022","112,91","113,44","114,26","111,86","13,59M","-1,07%"
"15.11.2022","114,13","113,80","114,53","112,87","19,37M","0,67%"
"14.11.2022","113,37","112,63","114,64","112,49","20,86M","-0,51%"
"11.11.2022","113,95","112,58","114,50","112,49","20,52M","3,12%"
"10.11.2022","110,50","110,19","110,70","107,57","20,15M","1,47%"
"09.11.2022","108,90","113,10","113,28","108,57","19,52M","-4,47%"
"08.11.2022","114,00","113,48","114,66","112,60","14,66M","0,32%"
"07.11.2022","113,64","112,41","113,99","112,13","16,01M","1,18%"
"04.11.2022","112,31","113,00","113,50","110,80","17,54M","1,09%"
"03.11.2022","111,10","108,58","111,82","108,31","17,10M","1,36%"
"02.11.2022","109,61","111,58","112,10","109,31","20,66M","-2,06%"
"01.11.2022","111,91","112,37","112,57","110,65","22,21M","0,99%"
"31.10.2022","110,81","109,50","112,91","109,44","26,40M","0,10%"
"28.10.2022","110,70","109,46","111,21","108,12","28,17M","2,93%"
"27.10.2022","107,55","108,41","109,58","107,42","18,21M","0,38%"
"26.10.2022","107,14","106,26","107,83","106,00","17,39M","1,19%"
"25.10.2022","105,88","106,41","107,33","105,07","15,72M","-0,68%"
"24.10.2022","106,60","105,66","107,68","105,12","17,02M","0,70%"
"21.10.2022","105,86","104,45","106,40","103,90","22,81M","1,86%"
"20.10.2022","103,93","104,32","105,00","103,41","17,65M","0,13%"
"19.10.2022","103,79","101,25","103,99","101,23","20,92M","2,97%"
"18.10.2022","100,80","101,54","102,35","99,23","14,07M","0,18%"
"17.10.2022","100,62","101,07","101,97","100,50","14,28M","1,44%"
"14.10.2022","99,19","101,12","102,24","99,04","15,23M","-2,63%"
"13.10.2022","101,87","97,55","102,45","97,40","22,02M","3,49%"
"12.10.2022","98,43","97,50","98,91","97,23","12,64M","0,44%"
"11.10.2022","98,00","97,22","99,76","96,75","17,80M","-0,85%"
"10.10.2022","98,84","101,49","102,03","98,72","16,79M","-2,17%"
"07.10.2022","101,03","102,19","103,32","100,18","24,51M","-1,01%"
"06.10.2022","102,06","98,47","102,18","98,33","29,12M","2,97%"
"05.10.2022","99,12","95,75","99,99","95,66","34,86M","4,04%"
"04.10.2022","95,27","93,24","95,36","92,71","22,13M","3,64%"
"03.10.2022","91,92","90,04","92,36","89,72","23,88M","5,28%"
"30.09.2022","87,31","88,17","89,04","87,31","21,36M","-1,54%"
"29.09.2022","88,68","88,18","89,36","87,13","17,90M","-0,20%"
"28.09.2022","88,86","86,12","89,30","85,92","19,54M","3,64%"
"27.09.2022","85,74","85,61","86,96","84,81","17,31M","2,10%"
"26.09.2022","83,98","84,90","86,22","83,89","22,04M","-2,06%"
"23.09.2022","85,75","87,50","87,50","84,85","27,74M","-5,32%"
"22.09.2022","90,57","92,20","92,66","90,52","16,14M","-0,42%"
"21.09.2022","90,95","93,57","93,88","90,87","17,33M","-1,61%"
"20.09.2022","92,44","92,73","92,93","91,64","14,71M","-0,82%"
"19.09.2022","93,20","91,01","93,49","91,00","15,34M","-0,01%"
"16.09.2022","93,21","95,07","95,34","92,00","37,87M","-1,71%"
"15.09.2022","94,83","96,22","96,54","94,05","21,09M","-2,91%"
"14.09.2022","97,67","96,19","98,56","96,15","22,66M","2,45%"
"13.09.2022","95,33","96,61","97,78","94,91","18,23M","-2,34%"
"12.09.2022","97,61","97,65","99,19","96,88","16,12M","1,15%"
"09.09.2022","96,50","96,52","97,00","95,32","17,16M","1,68%"
"08.09.2022","94,91","94,66","95,42","93,72","18,76M","0,82%"
"07.09.2022","94,14","93,19","94,59","92,30","16,27M","-0,85%"
"06.09.2022","94,95","96,16","96,59","94,51","19,20M","-0,67%"
"02.09.2022","95,59","96,35","96,79","95,11","18,21M","1,83%"
"01.09.2022","93,87","94,42","95,07","92,29","16,42M","-1,80%"
"31.08.2022","95,59","94,03","96,84","93,59","18,34M","-0,75%"
"30.08.2022","96,31","98,36","98,62","95,82","17,09M","-3,81%"
"29.08.2022","100,12","98,18","101,56","98,14","23,06M","2,30%"
"26.08.2022","97,87","98,77","99,91","97,42","15,53M","-1,23%"
"25.08.2022","99,09","98,92","99,86","98,10","15,31M","0,52%"
